Network,m,beta,mu,theo_SteadyState,SteadyState,steady_index:
BA-200,0,0.08,0.1,0.638721574,0.59791245,33
BA-200,1,0.08,0.1,0.638721574,0.59978835,33
BA-200,2,0.08,0.1,0.638721574,0.6013789,33
BA-200,3,0.08,0.1,0.638721574,0.6035195,32
BA-200,4,0.08,0.1,0.638721574,0.60477585,32
BA-200,5,0.08,0.1,0.638721574,0.60573945,32
BA-200,6,0.08,0.1,0.638721574,0.6082508,32
BA-200,7,0.08,0.1,0.638721574,0.61030115,31
BA-200,8,0.08,0.1,0.638721574,0.60987795,30
BA-200,9,0.08,0.1,0.638721574,0.61328425,32
BA-200,10,0.08,0.1,0.638721574,0.6139577,31
BA-1000,0,0.08,0.1,0.638161379,0.5977016,29
BA-1000,1,0.08,0.1,0.638161379,0.5998306,29
BA-1000,2,0.08,0.1,0.638161379,0.6013095,29
BA-1000,3,0.08,0.1,0.638161379,0.6032802,31
BA-1000,4,0.08,0.1,0.638161379,0.6045671,30
BA-1000,5,0.08,0.1,0.638161379,0.6065572,30
BA-1000,6,0.08,0.1,0.638161379,0.6070237,30
BA-1000,7,0.08,0.1,0.638161379,0.6103419,29
BA-1000,8,0.08,0.1,0.638161379,0.6110098,28
BA-1000,9,0.08,0.1,0.638161379,0.6124354,30
BA-1000,10,0.08,0.1,0.638161379,0.6136879,28
BA-10000,0,0.08,0.1,0.638321111,0.59734895,30
BA-10000,1,0.08,0.1,0.638321111,0.59922028,29
BA-10000,2,0.08,0.1,0.638321111,0.60069239,29
BA-10000,3,0.08,0.1,0.638321111,0.60290681,29
BA-10000,4,0.08,0.1,0.638321111,0.60490283,30
BA-10000,5,0.08,0.1,0.638321111,0.60629609,29
BA-10000,6,0.08,0.1,0.638321111,0.60804566,29
BA-10000,7,0.08,0.1,0.638321111,0.60987365,29
BA-10000,8,0.08,0.1,0.638321111,0.611352,29
BA-10000,9,0.08,0.1,0.638321111,0.61256751,28
BA-10000,10,0.08,0.1,0.638321111,0.61414622,28
